id,x_mm,y_mm,z_mm,aim_x_mm,aim_y_mm,aim_z_mm,mount_id,mount_type,mount_offset_mm,mount_face,lens,recording,portrait_roll,distance_to_aim_m,h_fov_deg,v_fov_deg,px_per_cm,primary_bins,total_bins_seen,contribution_score,contribution_band,lean_removal_candidate,suggested_action,rationale
C01,3810,0,1550,0,0,1100,truss_main_slot_01,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C02,3752.118,661.6,2450,0,0,1100,truss_main_slot_02,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C03,3580.229,1303.097,1550,0,0,1100,truss_main_slot_03,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C04,3299.557,1905,2450,0,0,1100,truss_main_slot_04,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C05,2918.629,2449.021,1550,0,0,1100,truss_main_slot_05,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C06,2449.021,2918.629,2450,0,0,1100,truss_main_slot_06,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C07,1905,3299.557,1550,0,0,1100,truss_main_slot_07,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C08,1303.097,3580.229,2450,0,0,1100,truss_main_slot_08,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,4.042,33.092,58.77,14.39,1,24,7.28,high,false,Keep,Contributes useful parallax or view overlap.
C09,661.6,3752.118,1550,0,0,1100,truss_main_slot_09,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C10,0,3810,2450,0,0,1100,truss_main_slot_10,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
