id,x_mm,y_mm,z_mm,aim_x_mm,aim_y_mm,aim_z_mm,mount_id,mount_type,mount_offset_mm,mount_face,lens,recording,portrait_roll,distance_to_aim_m,h_fov_deg,v_fov_deg,px_per_cm,primary_bins,total_bins_seen,contribution_score,contribution_band,lean_removal_candidate,suggested_action,rationale
C01,3800,0,1550,0,0,1100,truss_main_slot_01,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,true,3.827,33.092,58.77,14.25,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C02,3510.742,1454.197,2450,0,0,1100,truss_main_slot_02,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,4.033,58.77,33.092,13.528,3,24,10.38,high,false,Keep,Contributes useful parallax or view overlap.
C03,2687.006,2687.006,1550,0,0,1100,truss_main_slot_03,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,3.827,58.77,33.092,14.256,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C04,1454.197,3510.742,2450,0,0,1100,truss_main_slot_04,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,4.033,58.77,33.092,13.528,3,24,10.38,high,false,Keep,Contributes useful parallax or view overlap.
C05,0,3800,1550,0,0,1100,truss_main_slot_05,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,true,3.827,33.092,58.77,14.25,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C06,-1454.197,3510.742,2450,0,0,1100,truss_main_slot_06,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,4.033,58.77,33.092,13.528,3,24,10.38,high,false,Keep,Contributes useful parallax or view overlap.
C07,-2687.006,2687.006,1550,0,0,1100,truss_main_slot_07,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,3.827,58.77,33.092,14.256,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C08,-3510.742,1454.197,2450,0,0,1100,truss_main_slot_08,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,true,4.033,33.092,58.77,13.522,3,24,10.68,high,false,Keep,Contributes useful parallax or view overlap.
C09,-3800,0,1550,0,0,1100,truss_main_slot_09,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,true,3.827,33.092,58.77,14.25,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C10,-3510.742,-1454.197,2450,0,0,1100,truss_main_slot_10,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,4.033,58.77,33.092,13.528,3,24,10.38,high,false,Keep,Contributes useful parallax or view overlap.
C11,-2687.006,-2687.006,1550,0,0,1100,stand_a_head_01,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,3.827,58.77,33.092,14.256,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C12,-1454.197,-3510.742,2450,0,0,1100,stand_a_head_02,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,4.033,58.77,33.092,13.528,3,24,10.38,high,false,Keep,Contributes useful parallax or view overlap.
C13,-0,-3800,1550,0,0,1100,stand_a_head_03,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,true,3.827,33.092,58.77,14.25,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C14,1454.197,-3510.742,2450,0,0,1100,stand_b_head_01,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,4.033,58.77,33.092,13.528,3,24,10.38,high,false,Keep,Contributes useful parallax or view overlap.
C15,2687.006,-2687.006,1550,0,0,1100,stand_b_head_02,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,true,3.827,33.092,58.77,14.25,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C16,3510.742,-1454.197,2450,0,0,1100,stand_b_head_03,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 24fps LQ,false,4.033,58.77,33.092,13.528,3,24,10.38,high,false,Keep,Contributes useful parallax or view overlap.
