id,x_mm,y_mm,z_mm,aim_x_mm,aim_y_mm,aim_z_mm,mount_id,mount_type,mount_offset_mm,mount_face,lens,recording,portrait_roll,distance_to_aim_m,h_fov_deg,v_fov_deg,px_per_cm,primary_bins,total_bins_seen,contribution_score,contribution_band,lean_removal_candidate,suggested_action,rationale
C01,4200,0,1550,0,0,1100,truss_main_slot_01,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,true,4.224,33.092,58.77,12.909,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C02,4056.888,1087.04,2450,0,0,1100,truss_main_slot_02,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.412,58.77,33.092,12.366,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C03,3637.307,2100,1550,0,0,1100,truss_main_slot_03,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.224,58.77,33.092,12.915,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C04,2969.848,2969.848,2450,0,0,1100,truss_main_slot_04,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.412,58.77,33.092,12.366,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C05,2100,3637.307,1550,0,0,1100,truss_main_slot_05,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,true,4.224,33.092,58.77,12.909,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C06,1087.04,4056.888,2450,0,0,1100,truss_main_slot_06,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.412,58.77,33.092,12.366,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C07,0,4200,1550,0,0,1100,truss_main_slot_07,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.224,58.77,33.092,12.915,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C08,-1087.04,4056.888,2450,0,0,1100,truss_main_slot_08,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,true,4.412,33.092,58.77,12.361,2,24,8.98,high,false,Keep,Contributes useful parallax or view overlap.
C09,-2100,3637.307,1550,0,0,1100,truss_main_slot_09,box_truss,0,front,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,true,4.224,33.092,58.77,12.909,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C10,-2969.848,2969.848,2450,0,0,1100,truss_main_slot_10,box_truss,0,bottom,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.412,58.77,33.092,12.366,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C11,-3637.307,2100,1550,0,0,1100,stand_a_head_01,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.224,58.77,33.092,12.915,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C12,-4056.888,1087.04,2450,0,0,1100,stand_a_head_02,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.412,58.77,33.092,12.366,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C13,-4200,0,1550,0,0,1100,stand_a_head_03,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,true,4.224,33.092,58.77,12.909,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C14,-4056.888,-1087.04,2450,0,0,1100,stand_b_head_01,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.412,58.77,33.092,12.366,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C15,-3637.307,-2100,1550,0,0,1100,stand_b_head_02,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,true,4.224,33.092,58.77,12.909,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C16,-2969.848,-2969.848,2450,0,0,1100,stand_b_head_03,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,false,4.412,58.77,33.092,12.366,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C17,-2100,-3637.307,1550,0,0,1100,virtual_mount_17,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 17:9 48fps MQ,true,4.224,33.092,58.77,12.909,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
